ID,县(市)名称,县(市)代码,数据年份,活立木总蓄积,林分面积合计,用材林面积,防护林面积,薪炭林面积,经济林面积,特用林面积,林分蓄积合计,用材林蓄积,防护林蓄积,薪炭林蓄积,经济林蓄积,特用林蓄积,幼龄林面积合计,幼龄用材林面积,幼龄防护林面积,幼龄薪炭林面积,幼龄经济林面积,幼龄特用林面积,幼龄林蓄积合计,幼龄用材林蓄积,幼龄防护林蓄积,幼龄薪炭林蓄积,幼龄经济林蓄积,幼龄特用林蓄积,中龄林面积合计,中龄用材林面积,中龄防护林面积,中龄薪炭林面积,中龄经济林面积,中龄特用林面积,中龄林蓄积合计,中龄用材林蓄积,中龄防护林蓄积,中龄薪炭林蓄积,中龄经济林蓄积,中龄特用林蓄积,近熟林面积合计,近熟用材林面积,近熟防护林面积,近熟薪炭林面积,近熟经济林面积,近熟特用林面积,近熟林蓄积合计,近熟用材林蓄积,近熟防护林蓄积,近熟薪炭林蓄积,近熟经济林蓄积,近熟特用林蓄积,成熟林面积合计,成熟用材林面积,成熟防护林面积,成熟薪炭林面积,成熟经济林面积,成熟特用林面积,成熟林蓄积合计,成熟用材林蓄积,成熟防护林蓄积,成熟薪炭林蓄积,成熟经济林蓄积,成熟特用林蓄积,过熟林面积合计,过熟用材林面积,过熟防护林面积,过熟薪炭林面积,过熟经济林面积,过熟特用林面积,过熟林蓄积合计,过熟用材林蓄积,过熟防护林蓄积,过熟薪炭林蓄积,过熟经济林蓄积,过熟特用林蓄积,疏林蓄积合计,疏林用材林蓄积,疏林防护林蓄积,疏林薪炭林蓄积,疏林经济林蓄积,疏林特用林蓄积,散生木蓄积合计,散生用材林蓄积,散生防护林蓄积,散生薪炭林蓄积,散生经济林蓄积,散生特用林蓄积,枯立木蓄积合计,枯立用材林蓄积,枯立防护林蓄积,枯立薪炭林蓄积,枯立经济林蓄积,枯立特用林蓄积,总和
31,渭滨区,610302,1980-1984,1351903,280559,279094,0,0,0,1465,1287035,1287035,0,0,0,0,118510,117045,0,0,0,1465,405713,405713,0,0,0,0,101548,101548,0,0,0,0,540701,540701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60501,60501,0,0,0,0,340621,340621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52318,52318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12550
32,陇县,610327,1980-1984,4706214,1103475,926802,161286,13666,0,1721,4549798,3997855,508139,43258,0,546,302670,213186,80994,6769,0,1721,805686,616434,174778,13928,0,546,630528,543339,80292,6897,0,0,2724264,2361573,333361,29330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170277,170277,0,0,0,0,1019668,1019668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24935,24935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131481
33,扶风,610324,1980-1984,198629,70437,2031,68406,0,0,0,62742,4469,58273,0,0,0,41681,0,41681,0,0,0,0,0,0,0,0,0,28756,2031,26725,0,0,0,62742,4469,58273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135887
34,宝鸡,610321,1980-1984,6040344,1252527,712180,522370,15213,0,2764,5511604,3511910,1981788,10718,0,7188,422735,144405,264305,14025,0,0,1190358,484867,698730,6761,0,0,748947,496118,248877,1188,0,2764,3714639,2495044,1208450,3957,0,7188,0,0,0,0,0,0,0,0,0,0,0,0,80845,71657,9188,0,0,0,606607,531999,74608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170927,155826,15101,0,0,0,314,132,182,0,0,0,0,0,0,0,0,0,357499
35,太白,610331,1980-1984,25055221,3199468,1493702,1080468,34391,0,590907,24997475,9887750,9154730,124713,0,5830282,662624,426565,224897,11162,0,0,2374340,1468844,882774,22722,0,0,930171,570127,336815,23229,0,0,6246529,3680509,2464029,101991,0,0,163931,76558,87373,0,0,0,1514987,656608,858379,0,0,0,945706,179047,175752,0,0,590907,9211950,1696936,1684732,0,0,5830282,497036,241405,255631,0,0,0,5649669,2384853,3264816,0,0,0,53579,47679,5900,0,0,0,2083,2083,0,0,0,0,0,0,0,0,0,0,2084
36,金台区,610303,1980-1984,28288,893,347,0,0,0,546,3845,762,0,0,0,3083,473,347,0,0,0,126,942,762,0,0,0,180,420,0,0,0,0,420,2903,0,0,0,0,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,127,0,0,0,0,0,0,24316
37,凤翔,610322,1980-1984,310155,53468,0,53468,0,0,0,81316,0,81316,0,0,0,26688,0,26688,0,0,0,34072,0,34072,0,0,0,26003,0,26003,0,0,0,45557,0,45557,0,0,0,777,0,777,0,0,0,1687,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9948,0,9948,0,0,0,0,0,0,0,0,0,218891
38,麟游,610329,1980-1984,703142,201288,85778,115510,0,0,0,499736,202293,297443,0,0,0,71904,29276,42628,0,0,0,160644,62054,98590,0,0,0,118467,49725,68742,0,0,0,307643,120783,186860,0,0,0,5205,2274,2931,0,0,0,15025,6527,8498,0,0,0,5648,4497,1151,0,0,0,16271,12915,3356,0,0,0,64,6,58,0,0,0,153,14,139,0,0,0,428,76,352,0,0,0,69196,11093,58103,0,0,0,0,0,0,0,0,0,133782
39,凤县,610330,1980-1984,8981848,2215033,1421939,587133,30084,0,175877,8679471,5617555,2092624,41273,0,928019,303047,209283,80438,5238,0,8088,430775,314775,100244,3791,0,11965,1029642,703064,238505,21389,0,66684,3411522,2415851,705184,28763,0,261724,580343,320190,194485,768,0,64900,2872598,1599004,867632,4352,0,401610,185668,112966,46155,1445,0,25102,1182202,787982,233028,3124,0,158068,116333,76436,27550,1244,0,11103,782374,499943,186536,1243,0,94652,295998,210551,81173,0,0,4274,6379,4410,1969,0,0,0,20775,12000,8693,0,0,82,0
40,渭南地区,612100,1980-1984,5423598,1538324,366907,1169238,0,0,2179,3318294,881141,2437153,0,0,0,719511,128834,588498,0,0,2179,633642,137483,496159,0,0,0,677143,198814,478329,0,0,0,2029276,633414,1395862,0,0,0,50571,1069,49502,0,0,0,320539,1108,319431,0,0,0,90535,38190,52345,0,0,0,332709,109136,223573,0,0,0,564,0,564,0,0,0,2128,0,2128,0,0,0,33653,3497,30156,0,0,0,224558,8635,215923,0,0,0,0,0,0,0,0,0,1847093
